fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Typing *#21# on your cell phone lets you know if you’re being spied on because of COVID-19 geolocation measures in Quebec.,This codes lets you know if call forwarding is activated.,Facebook,https://ici.radio-canada.ca/nouvelle/1694359/etoile-diese-21-code-espionnage-pistage-telephone-police-covid-19-coronavirus-sq
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,misleading,Coronavirus was created in a lab in China in 2013.,The virus created in 2013 was a combination of two influenza viruses.,Facebook,https://ici.radio-canada.ca/nouvelle/1694508/virus-chine-lien-aucun-coronavirus-decrypteurs
Agência Lupa,2020/04/22 ,Brazil,false,"Video of an FBI raid. In the captions, it says the agents were seizing Chinese N95 masks that were contaminated with COVID-19.",The N95 shown in the video were seized because they were being ilegally hoarded by an American individual. They were distributed to hospitals in New York City after this incident.,Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-fbi-mascaras-coronavirus/
Maldita.es,2020/04/22 ,Spain,false,"Photographs of killer whales allegedly taken in El Médano, Tenerife during confinement by the coronavirus.","None of the photographs of orcas related to Tenerife is current and one of them was not even in Tenerife, it is related to Hawaii.",Social media,https://maldita.es/malditobulo/2020/04/22/no-estas-fotografias-de-orcas-que-se-difunden-como-tomadas-en-el-medano-tenerife-no-son-actuales/
Vishvas News,2020/04/22 ,India,false,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.,The online post misrepresents how to wear a surgical mask. The post claiming you should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy is fake.,Facebook,https://www.vishvasnews.com/english/health/fact-check-fake-online-post-misrepresents-how-to-wear-a-surgical-mask/
Estadão Verifica,2020/04/22 ,Brazil,false,"Mix of jambu, lemon and garlic does not heal covid-19.","There is yet to be found a medicine, food or vaccine against coronavírus. All home recipes are false and may endanger the general population.",Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/receita-caseira-com-jambu-alho-e-limao-nao-cura-a-covid-19/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,The Canadian federal governement gives 756 $ to every citizen.,The link to sign up for this program leads to a gorilla photo.,Facebook,https://ici.radio-canada.ca/nouvelle/1694856/indemnite-prime-confinement-gouvernement-federal-canada-vrai-faux
Agência Lupa,2020/04/22 ,Brazil,false,"A video shows an empty hospital. It states that, although Globo said there were already 7 patients at a temporary COVID-19 hospital built in Fortaleza, Brazil, the video proves it is still not working.","This video was originally published on April 17, while the hospital was still not open. It did open on April 18, and on that day, a story run by TV Globo stated that 7 patients were transfered to this institution. There were 25 patients in this improvised hospital on April 22.",Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-hospital-fortaleza-nao-tem-pacientes/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Coronavirus was created from HIV.,The similarity between coronavirus and HIV is minimal and does not indicate any human manipulation. coronavirus has similarities with many viruses.,Luc Montagnier,https://ici.radio-canada.ca/nouvelle/1695718/coronavirus-sras-cov2-vih-sequence-luc-montagnier-faux
AFP,2020/04/22 ,"United States, Canada, Australia",false,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,"The claims are false; immunization is not compulsory in most Australian states and Canadian provinces, while exemptions can be obtained in the United States as well as Canada’s Ontario and New Brunswick.",FB,https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic
La Silla Vacía,2020/04/22 ,Colombia,false,Colombia is the country with less cases and deaths for coronavirus per inhabitant in America.,Colombia is the third country with less cases and deaths for coronavirus per inhabitant. Under Mexico and Argentina.,Facebook,https://lasillavacia.com/detector-no-colombia-no-tiene-tasa-mas-baja-america-muertos-y-contagiados-covid-19
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,partly false,Coronavirus was created in a lab in China.,"Claims about human manipulation of the virus have been debunked several times. Also, the documentary is produced by an openly anti-Chinese government organization.",Epoch Times,https://ici.radio-canada.ca/nouvelle/1695832/covid-19-attention-inexactitudes-documentaire-epoch-times
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Criminals give contaminated masks from door-to-door to make people fall asleep and rob them.,Police confirms no such crime has been reported.,Facebook,https://ici.radio-canada.ca/nouvelle/1693905/covid-19-cambrioleurs-masques-empoisonnes-endormir-saint-jerome
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,misleading,Being behind a jogger or a cyclist makes you at risk of contracting COVID-19.,The study did not evaluate infection risk or viral load.,Medium,https://ici.radio-canada.ca/nouvelle/1694664/etude-distance-coureurs-jogging-gouttelettes
Maldita.es,2020/04/22 ,"Spain, Colombia",misleading,Clinical trials with chlorine dioxide (CDS) allegedly initiated by the American Institute of Health.,"The study will not be carried out by the National Institutes of Health (nor the ""North American Institute of Health"" to which the message refers and which does not exist by that name. In the information provided, the Genesis Foundation appears as sponsor of the trial, and as a place where The study will be carried out at the San Carlos Hospital in Bogotá, Colombia.",WhatsApp,https://maldita.es/malditaciencia/2020/04/22/que-sabemos-sobre-las-pruebas-clinicas-con-cds-supuestamente-iniciadas-por-el-instituto-de-salud-norteamericano/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Typing *#21# on your cell phone lets you know if you’re being spied on because of COVID-19 geolocation measures in Quebec.,This codes lets you know if call forwarding is activated.,Facebook,https://ici.radio-canada.ca/nouvelle/1694359/etoile-diese-21-code-espionnage-pistage-telephone-police-covid-19-coronavirus-sq
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,misleading,Coronavirus was created in a lab in China in 2013.,The virus created in 2013 was a combination of two influenza viruses.,Facebook,https://ici.radio-canada.ca/nouvelle/1694508/virus-chine-lien-aucun-coronavirus-decrypteurs
Agência Lupa,2020/04/22 ,Brazil,false,"Video of an FBI raid. In the captions, it says the agents were seizing Chinese N95 masks that were contaminated with COVID-19.",The N95 shown in the video were seized because they were being ilegally hoarded by an American individual. They were distributed to hospitals in New York City after this incident.,Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-fbi-mascaras-coronavirus/
Maldita.es,2020/04/22 ,Spain,false,"Photographs of killer whales allegedly taken in El Médano, Tenerife during confinement by the coronavirus.","None of the photographs of orcas related to Tenerife is current and one of them was not even in Tenerife, it is related to Hawaii.",Social media,https://maldita.es/malditobulo/2020/04/22/no-estas-fotografias-de-orcas-que-se-difunden-como-tomadas-en-el-medano-tenerife-no-son-actuales/
Vishvas News,2020/04/22 ,India,false,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.,The online post misrepresents how to wear a surgical mask. The post claiming you should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy is fake.,Facebook,https://www.vishvasnews.com/english/health/fact-check-fake-online-post-misrepresents-how-to-wear-a-surgical-mask/
Estadão Verifica,2020/04/22 ,Brazil,false,"Mix of jambu, lemon and garlic does not heal covid-19.","There is yet to be found a medicine, food or vaccine against coronavírus. All home recipes are false and may endanger the general population.",Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/receita-caseira-com-jambu-alho-e-limao-nao-cura-a-covid-19/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,The Canadian federal governement gives 756 $ to every citizen.,The link to sign up for this program leads to a gorilla photo.,Facebook,https://ici.radio-canada.ca/nouvelle/1694856/indemnite-prime-confinement-gouvernement-federal-canada-vrai-faux
Agência Lupa,2020/04/22 ,Brazil,false,"A video shows an empty hospital. It states that, although Globo said there were already 7 patients at a temporary COVID-19 hospital built in Fortaleza, Brazil, the video proves it is still not working.","This video was originally published on April 17, while the hospital was still not open. It did open on April 18, and on that day, a story run by TV Globo stated that 7 patients were transfered to this institution. There were 25 patients in this improvised hospital on April 22.",Facebook posts,https://piaui.folha.uol.com.br/lupa/2020/04/22/verificamos-hospital-fortaleza-nao-tem-pacientes/
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Coronavirus was created from HIV.,The similarity between coronavirus and HIV is minimal and does not indicate any human manipulation. coronavirus has similarities with many viruses.,Luc Montagnier,https://ici.radio-canada.ca/nouvelle/1695718/coronavirus-sras-cov2-vih-sequence-luc-montagnier-faux
AFP,2020/04/22 ,"United States, Canada, Australia",false,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,"The claims are false; immunization is not compulsory in most Australian states and Canadian provinces, while exemptions can be obtained in the United States as well as Canada’s Ontario and New Brunswick.",FB,https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic
La Silla Vacía,2020/04/22 ,Colombia,false,Colombia is the country with less cases and deaths for coronavirus per inhabitant in America.,Colombia is the third country with less cases and deaths for coronavirus per inhabitant. Under Mexico and Argentina.,Facebook,https://lasillavacia.com/detector-no-colombia-no-tiene-tasa-mas-baja-america-muertos-y-contagiados-covid-19
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,partly false,Coronavirus was created in a lab in China.,"Claims about human manipulation of the virus have been debunked several times. Also, the documentary is produced by an openly anti-Chinese government organization.",Epoch Times,https://ici.radio-canada.ca/nouvelle/1695832/covid-19-attention-inexactitudes-documentaire-epoch-times
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,false,Criminals give contaminated masks from door-to-door to make people fall asleep and rob them.,Police confirms no such crime has been reported.,Facebook,https://ici.radio-canada.ca/nouvelle/1693905/covid-19-cambrioleurs-masques-empoisonnes-endormir-saint-jerome
Décrypteurs - Radio-Canada,2020/04/23 ,Canada,misleading,Being behind a jogger or a cyclist makes you at risk of contracting COVID-19.,The study did not evaluate infection risk or viral load.,Medium,https://ici.radio-canada.ca/nouvelle/1694664/etude-distance-coureurs-jogging-gouttelettes
Maldita.es,2020/04/22 ,"Spain, Colombia",misleading,Clinical trials with chlorine dioxide (CDS) allegedly initiated by the American Institute of Health.,"The study will not be carried out by the National Institutes of Health (nor the ""North American Institute of Health"" to which the message refers and which does not exist by that name. In the information provided, the Genesis Foundation appears as sponsor of the trial, and as a place where The study will be carried out at the San Carlos Hospital in Bogotá, Colombia.",WhatsApp,https://maldita.es/malditaciencia/2020/04/22/que-sabemos-sobre-las-pruebas-clinicas-con-cds-supuestamente-iniciadas-por-el-instituto-de-salud-norteamericano/
15min.lt,2020/04/21 ,Lithuania,false,A YouTube chanel and a blog was created to promote the idea that NATO troops are leaving Lithuania due to governments inability to deal with the COVID-19 pandemic,"A fake Blogspot blog, Youtube chanel and Liveleak entry were created to promote the idea that NATO is withdrawing from Lithuania amidst the COVID-19 pandemic. The fake entrys used credentials of our orgnization fact-checker to promote the falsehood. Forged letter of the head of NATO, Jens Stoltenberg, claiming that NATO leaves Lithuania was sent out to think-tanks, government agencies etc. The information was false and likely part of a coordinated campaign.","Youtube, Blog",15min.lt/naujiena/aktualu/lietuva/atsargiai-melaginga-informacija-apie-nato-karius-piktavaliai-platina-prisidenge-15min-vardu-56-1307140
Maldita.es,2020/04/21 ,Spain,misleading,"The “vinegar test”, a home experiment to supposedly know whether or not a person is infected with coronavirus","It is true that the decrease in sensitivity in this sense may be a sign of COVID-19, however it is not exclusively related to the smell of vinegar.",Social Media,https://maldita.es/malditaciencia/2020/04/21/vinagre-olor-coronavirus/
Vishvas News,2020/04/21 ,India,false,A woman attempting to spread coronavirus in Delhi’s Super store.,The woman was mentally unstable. She was not spreading coronavirus.,Facebook,https://www.vishvasnews.com/politics/fact-check-no-this-woman-was-not-attempting-to-spread-corona-virus-in-a-supermarket-situated-in-delhi-at-rani-bagh/
Maldita.es,2020/04/22 ,Spain,false,"Photographs of killer whales allegedly taken in El Médano, Tenerife during confinement by the coronavirus.","None of the photographs of orcas related to Tenerife is current and one of them was not even in Tenerife, it is related to Hawaii.",Social media,https://maldita.es/malditobulo/2020/04/22/no-estas-fotografias-de-orcas-que-se-difunden-como-tomadas-en-el-medano-tenerife-no-son-actuales/
PesaCheck,2020/04/22 ,Mali,false,"567 positive cases and 39 deaths from Covid-19 were recorded in Mali on April 13, 2020.","The publication mentioning the statistics of April 13 relating to COVID-19 in Mali and contradicting those of official sources, is an invention to mislead public opinion.",Facebook,https://pesacheck.org/faux-le-mali-ne-comptait-pas-567-cas-et-39-mort-de-covid-19-%C3%A0-la-date-du-13-avril-2020-da547d3d77b8
Vistinomer,2020/04/22 ,North Macedonia,misleading,The text insinuates that the Macedonian Minister of Defense insulted doctors with her Easter greetings post on Facebook during a coronavirus epidemic.,"The article abused a simple Easter greeting and a message of support for doctors during the coronavirus pandemic, which the Minister posted on her FB profile. The text manipulates and distorts the truth, creating a false image in order to tarnish the Minister.",netpress.com.mk,https://crithink.mk/od-obichna-veligdenska-chestitka-do-insinuaczii-za-mito-na-lekarite/
Vishvas News,2020/04/21 ,India,false,WHO releases report claiming vegetarians haven’t contracted the coronavirus.,World Health Organization (WHO) hasn’t release report claiming vegetarians haven’t contracted coronavirus. The viral post is fake.,Facebook,https://www.vishvasnews.com/english/health/fact-check-who-didnt-release-report-claiming-vegetarians-havent-contracted-coronavirus/
Chequeado,2020/04/21 ,"Argentina, Chile, Mexico, Spain",false,The 5G network causes flu symptoms and it caused the COVID-19 pandemic.,There is no scientific evidence that the disease is caused by radiation from the 5G mobile network.,Facebook,https://chequeado.com/verificacionfb/es-falso-que-la-red-5g-causa-sintomas-de-gripe-y-que-provoco-la-pandemia/
Vishvas News,2020/04/21 ,India,false,Currency spread on the roads to spread coronavirus.,"Money fell accidently on a road in Indore, India not to spread coronavirus.",Facebook,https://www.vishvasnews.com/viral/fact-check-thousands-of-rupees-fell-accidentally-not-to-spread-virus-in-indore/
AFP,2020/04/22 ,"United States, Canada, Australia",false,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,"The claims are false; immunization is not compulsory in most Australian states and Canadian provinces, while exemptions can be obtained in the United States as well as Canada’s Ontario and New Brunswick.",FB,https://factcheck.afp.com/false-advice-refusing-vaccines-circulates-during-covid-19-pandemic
Maldita.es,2020/04/21 ,Spain,false,"A video of a Muslim march in Valencia, Spain allegedly recorded during the confinement by the coronavirus.","It is a march that was held on November 18, 2018 in Valencia, Spain to commemorate the birth of the prophet Muhammad",Facebook,https://maldita.es/malditobulo/2020/04/21/video-manifestacion-personas-musulmanas-valencia-coronavirus/
BOOM FactCheck,2020/04/21 ,India,false,"Muslims are throwing currency notes on roads to spread Coronavirus in Indore, a city in India.",The currency notes in the streets of Indore was accidently dropped by a cooking gas delivery man while he was cycling.,Facebook & Twitter,https://hindi.boomlive.in/fake-news/video-of-currency-notes-found-in-indore-viral-with-false-communal-spin-7763
Vishvas News,2020/04/22 ,India,false,You should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy.,The online post misrepresents how to wear a surgical mask. The post claiming you should wear the colored side of the mask on the outside when you are sick and the white side on the outside when you are healthy is fake.,Facebook,https://www.vishvasnews.com/english/health/fact-check-fake-online-post-misrepresents-how-to-wear-a-surgical-mask/
AFP,2020/04/21 ,France,false,This video shows a riot in the United States triggered by the oil price collapse.,"This video actually shows some riots that occured in Washington DC in 2017 after Donald Trump election, shot by Reuters agency.",Social media,https://factuel.afp.com/non-cette-video-ne-montre-pas-une-emeute-provoquee-par-la-chute-du-cours-du-petrole-aux-etats-unis
FactCrescendo,2020/04/21 ,India,false,"In India, Tamil Nadu’s BJP party workers distributed drugs along with COVID-19 relief goods.",A doctored image has been used to make the false claim.,Facebook/Twitter/WhatsApp,https://tamil.factcrescendo.com/factcheck-has-tn-bjp-distributed-drugs-in-covid19-relief-goods/
15min.lt,2020/04/21 ,Lithuania,false,A YouTube chanel and a blog was created to promote the idea that NATO troops are leaving Lithuania due to governments inability to deal with the COVID-19 pandemic,"A fake Blogspot blog, Youtube chanel and Liveleak entry were created to promote the idea that NATO is withdrawing from Lithuania amidst the COVID-19 pandemic. The fake entrys used credentials of our orgnization fact-checker to promote the falsehood. Forged letter of the head of NATO, Jens Stoltenberg, claiming that NATO leaves Lithuania was sent out to think-tanks, government agencies etc. The information was false and likely part of a coordinated campaign.","Youtube, Blog",15min.lt/naujiena/aktualu/lietuva/atsargiai-melaginga-informacija-apie-nato-karius-piktavaliai-platina-prisidenge-15min-vardu-56-1307140
Vistinomer,2020/04/21 ,North Macedonia,misleading,The text accuses the Government of leaving the citizens at the mercy and compassion during the coronavirus epidemic and that people are self-organizing to help with food and medicine.,"In no part of the text have the allegations been substantiated by facts, evidence, or sources. The article is manipulative, tendentious, full of commentary elements, and there is no official position from the affected party - the Government",kurir.mk,https://crithink.mk/za-komentari-i-nepotkrepeni-obvinuvana-nema-mesto-vo-vestite/
Maldita.es,2020/04/21 ,Spain,misleading,"The “vinegar test”, a home experiment to supposedly know whether or not a person is infected with coronavirus","It is true that the decrease in sensitivity in this sense may be a sign of COVID-19, however it is not exclusively related to the smell of vinegar.",Social Media,https://maldita.es/malditaciencia/2020/04/21/vinagre-olor-coronavirus/
Vishvas News,2020/04/21 ,India,false,A woman attempting to spread coronavirus in Delhi’s Super store.,The woman was mentally unstable. She was not spreading coronavirus.,Facebook,https://www.vishvasnews.com/politics/fact-check-no-this-woman-was-not-attempting-to-spread-corona-virus-in-a-supermarket-situated-in-delhi-at-rani-bagh/
Vistinomer,2020/04/21 ,North Macedonia,no evidence,"The article claims that one of the symptoms of some of the patients with coronavirus is skin manifestations, i.e. lesions on the feet, which look like measles.","For the statement made in the text there are no precise and relevant sources indicated, and there is no evidence and confirmation from official institutions.",iportal.mk,https://crithink.mk/shpekulativno-i-neprovereno-tvrdene-za-nov-simptom-na-koronavirus/
FactCrescendo,2020/04/21 ,India,false,The incident of lynching of two Indian monks in Palghar amid lockdown was communal.,The Home minister of Maharashtra and Maharashtra Police have repeatedly denied any communal angle in the incident.,Facebook,https://tamil.factcrescendo.com/factcheck-muslims-didnt-kill-sadhus-in-maharashtra/
Maldita.es,2020/04/21 ,Spain,false,"A WhatsApp audio allegedly from a judge of Tarragona, Spain that claims that cops can’t fine you for going to the street during the lockdown","The magistrate of the Provincial Court of Tarragona, Spain, named Ángel Martínez Sáez, to whom the audio is attributed, assures that he did not do it.",Whatsapp,https://maldita.es/malditobulo/2020/04/21/autoria-audio-confinamiento-magistrado-tarragona-angel-martinez-saez/
Chequeado,2020/04/21 ,Argentina,false,There is evidence to claim that the new coronavirus has been created in the United States.,"Scientific studies indicate that the virus probably originated through natural processes, and was not artificially designed in a laboratory.","FB, Youtube",https://chequeado.com/el-explicador/no-hay-pruebas-para-afirmar-que-el-nuevo-coronavirus-haya-sido-creado-en-los-estados-unidos/
Maldita.es,2020/04/21 ,Spain,false,"A video of a Muslim march in Valencia, Spain allegedly recorded during the confinement by the coronavirus.","It is a march that was held on November 18, 2018 in Valencia, Spain to commemorate the birth of the prophet Muhammad",Facebook,https://maldita.es/malditobulo/2020/04/21/video-manifestacion-personas-musulmanas-valencia-coronavirus/
AFP,2020/04/21 ,United States,misleading,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,"This is misleading; many hospitals have prohibited visitors during the COVID-19 pandemic, but even facilities in heavily-affected states have exceptions allowing a parent or caregiver to be with pediatric patients.",FB,https://factcheck.afp.com/posts-claim-children-covid-19-must-go-hospitals-alone
Teyit,2020/04/21 ,Turkey,false,The photo shows the woman who is the representative of the Religious Affairs Department in the Coronavirus Science Committee in Turkey.,The photo shows a job security specialist and it was depicted from a newscast on TGRT. There is no official representation of the Religious Affairs Department in the coronavirus Science Committee.,Facebook,https://teyit.org/fotografin-bilim-kurulundaki-diyanet-temsilcisini-gosterdigi-iddiasi/
BOOM FactCheck,2020/04/21 ,India,false,"Muslims are throwing currency notes on roads to spread Coronavirus in Indore, a city in India.",The currency notes in the streets of Indore was accidently dropped by a cooking gas delivery man while he was cycling.,Facebook & Twitter,https://hindi.boomlive.in/fake-news/video-of-currency-notes-found-in-indore-viral-with-false-communal-spin-7763
FactCrescendo,2020/04/21 ,India,false,"In India, Kerala High Court orders Kerala government to cease business with controversial data analytics company Sprinklr while hearing a Public interest litigation suite on April 21, 2020.",erala HC just sought an explanation from the state government regarding possession of COVID related data with controversial American data analytics company Sprinklr by 22nd of April and further hearing would be conducted on 24th April. No orders were passed in the hearing on 21st April.,Facebook/Twitter,https://www.malayalam.factcrescendo.com/fake-post-regarding-kerala-hc-proceedings-on-springler-case/
AFP,2020/04/21 ,France,false,This video shows a riot in the United States triggered by the oil price collapse.,"This video actually shows some riots that occured in Washington DC in 2017 after Donald Trump election, shot by Reuters agency.",Social media,https://factuel.afp.com/non-cette-video-ne-montre-pas-une-emeute-provoquee-par-la-chute-du-cours-du-petrole-aux-etats-unis
FactCrescendo,2020/04/21 ,India,false,"In India, Tamil Nadu’s BJP party workers distributed drugs along with COVID-19 relief goods.",A doctored image has been used to make the false claim.,Facebook/Twitter/WhatsApp,https://tamil.factcrescendo.com/factcheck-has-tn-bjp-distributed-drugs-in-covid19-relief-goods/
FactCrescendo,2020/04/20 ,India,false,"Video showing policemen picking banknotes with sticks, linking it with coronavirus.",An LPG gas-cylinder delivery person had accidentally dropped the money. Police have clarified that there was no malicious intent of spreading coronavirus behind it.,Facebook/Twitter,https://marathi.factcrescendo.com/no-the-notes-were-not-thrown-on-the-road-to-deliberately-spread-coronavirus/
Aos Fatos,2020/04/20 ,Brazil,false,"After announcing social isolation measures, governor of São Paulo, João Doria, appears at a party in the interior of the state.",All image records are prior to theCOVID-19 pandemic,Facebook posts,https://aosfatos.org/noticias/foto-e-video-de-doria-em-aracatuba-sao-anteriores-pandemia-de-covid-19/
Animal Político,2020/04/20 ,Mexico,false,The COVID-19 pandemic was caused by the 5G network. All influenza pandemics are caused by the “electrification” of the earth.,"There is no scientific relationship between the 5G network and the coronavirus. Nor can it be proven that ""electrification"" causes pandemics.",Whatsapp,https://www.animalpolitico.com/elsabueso/coronavirus-no-electrificacion-red5g/
FactCrescendo,2020/04/20 ,India,false,Karnataka Chief Minister attended H.D. Kumaraswamy’s son’s wedding amid nationwide lockdown.,"Though the wedding took place amid lockdown restrictions, Karnataka CM didn't attend the wedding. The image being shared is of H.D. Kumaraswamy's son's engagement took place before lockdown and the CM had participated in the engagement.",Facebook,https://assamese.factcrescendo.com/did-karnataka-cm-attend-ex-cms-sons-wedding-violating-coronavirus-lockdown/
Aos Fatos,2020/04/20 ,Brazil,false,"Military men run on a beach in Rio de Janeiro, disrespecting governor Wilson Witzel’s isolation measures.","The video was recorded on September 2018, when Jair Bolsonaro and Wilson Witzel were still running for the brazilian election.",Facebook posts,https://aosfatos.org/noticias/video-de-militares-correndo-na-praia-e-antigo-e-nao-tem-relacao-com-isolamento-social/
FactCheck.org,2020/04/20 ,United States,false,A picture of a reporter in protective medical gear is an example of how the American media “hypes” the COVID-19 pandemic.,The photo actually shows a news team in Lebanon reporting on a local factory that makes protective suits.,Facebook posts,https://www.factcheck.org/2020/04/photo-of-lebanese-reporter-used-to-criticize-u-s-media/
FactCrescendo,2020/04/20 ,India,false,US has developed miracle drug Remedesivir against COVID19.,Remedesivir is an antiviral drug which is being sold in the market for the last 10 years. It is being administered to COVID patients on an experimental basis.,Facebook,https://www.malayalam.factcrescendo.com/fact-check-did-us-develop-anti-covid19-drug/
Teyit,2020/04/20 ,Turkey,false,The photo shows that a man in Jordan died of COVID-19 was buried with his car,The photo is from South Afrika and shows Tshekede Bufton Pitso's funeral who died of old age. Burial witt the car was his testament.,Facebook,https://teyit.org/urdunde-yeni-koronavirusten-olen-birinin-otomobiliyle-gomuldugu-iddiasi/
FactCrescendo,2020/04/20 ,India,false,Mountain Matterhorn in Switzerland was lit in three colours of Indian flag as a token of gratitude to India for sending Hydroxychloroquine.,The Indian national flag was projected on the mountain Matterhorn as an expression of solidarity in fight against COVID-19. Not just India but flags of other countries were also projected on various days on the  Matterhorn mountain.,Facebook/WhatsApp/Twitter,https://tamil.factcrescendo.com/factcheck-misleading-theory-on-indian-flag-display-at-matterhorn-mountain/
Aos Fatos,2020/04/20 ,Brazil,false,"Police officer steps on woman protesting against social isolation measures in Ceará, a Brazilian state.","The image was recorded in July 2017 in Caracas, Venezuela, by photographer Miguel Gutierrez of the Spanish news agency EFE and shows the arrest of law student Paula Colmenárez, who was attending a protest against President Nicolás Maduro.",Facebook posts,https://aosfatos.org/noticias/foto-de-policial-pisando-em-manifestante-foi-registrada-na-venezuela-nao-no-ceara/
Verificado,2020/04/20 ,Mexico,false,HEB is giving away $ 500 pesos coupons because of COVID-19 in Mexico.,"It is false that the H-E-B company is giving away coupons of $ 500 pesos to the general population, in support of the health contingency by COVID-19 in Mexico.
On WhatsApp this Monday, April 20, a message began to circulate",WhatApp,https://verificado.com.mx/h-e-b-no-esta-regalando-cupones-de-500-pesos-de-apoyo-ante-covid-19/
Check Your Fact,2020/04/20 ,United States,false,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.","While Democratic senators voted against moving the bill forward in earlier procedural votes over policy concerns, the Senate passed the final version unanimously.",Facebook,https://checkyourfact.com/2020/04/20/fact-check-44-senators-vote-against-sending-coronavirus-stimulus-payments/
FactCrescendo,2020/04/20 ,India,false,Video showing Coronavirus patient telling her ordeal shared with the claim that she is from India.,"The woman in the viral video is a British woman, Tara Jane Langston. She is not from India.",WhatsApp/Facebook,https://marathi.factcrescendo.com/video-of-a-british-woman-infected-with-corona-goes-viral-as-from-surat/
Dubawa,2020/04/20 ,Nigeria,false,Recent news and media claims that the Tuberculosis vaccine- BCG may be effective against Covid-19,"The WHO stated that ""there is no evidence that the Bacille Calmette-Guérin vaccine (BCG) protects people against infection with COVID-19 virus"". Hence, it is best to disregard this claim; until, sources of repute proclaim after much research and substantial findings say otherwise.",WhatsApp,https://dubawa.org/bcg-vaccine-may-cure-tuberculosis-but-not-covid-19-who/
FactCheck.org,2020/04/20 ,United States,false,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,"The photo shows a vaccine for the canine coronavirus, which is not the same virus affecting humans around the world.",Facebook posts,https://www.facebook.com/photo.php?fbid=215655016552548&set=gm.840476409781728&type=3&theater&ifg=1
FactCrescendo,2020/04/20 ,India,false,"Video showing policemen picking banknotes with sticks, linking it with coronavirus.",An LPG gas-cylinder delivery person had accidentally dropped the money. Police have clarified that there was no malicious intent of spreading coronavirus behind it.,Facebook/Twitter,https://marathi.factcrescendo.com/no-the-notes-were-not-thrown-on-the-road-to-deliberately-spread-coronavirus/
Vishvas News,2020/04/20 ,India,misleading,Tonic water and zinc will kill COVID-19.,"Quinine needs to be given to a patient in a particular dose. It is only given under the doctor’s prescription. In tonic water, the required dose is not present to approach the similar effect of the drug. The claim that tonic water and zinc can kill COVID-19 is misleading.",Facebook,https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-tonic-water-and-zinc-will-kill-covid-19-is-misleading/
FactCrescendo,2020/04/20 ,India,false,Asia’s richest man Mukesh Ambani’s wife Nita Ambani received Rs.500 as welfare fund from Central Government.,"A tweet from a parody account of Nita Ambani claiming she received Rs.500 from the central government, was mistaken to be true.",Facebook,https://tamil.factcrescendo.com/factcheck-has-nita-ambani-received-500-rs-under-jan-dhan-yojana/
Agência Lupa,2020/04/20 ,Brazil,false,"Pictures of João Doria, governor of São Paulo, at a party in Araçatuba during COVID-19 lockdown.","Two pictures were shared with this claim. One of them was shot in November 2019. He was visiting a factory in Araçatuba. The other one was during a trip to Dubai, in February 2020 (a few weeks before the first case of COVID-19 was registered in Brazil)",Facebook,https://piaui.folha.uol.com.br/lupa/2020/04/20/verificamos-joao-doria-festa-aracatuba/
